,Желаемая вакансия,Желаемая зарплата,Пол,Возраст,Местонахождения,Общий стаж,Работодатели,Ключевые навыки,Образование,Знание языков
408,Ведущий менеджер по продажам,25 000 руб.,Женщина,20 лет,ГРОЗНЫЙ,Опыт работы 1 год 9 месяцев,['ООО '],,"['ЧЕЧЕНСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ, ГРОЗНЫЙ']",['РУССКИЙ']
409,Ведущий менеджер по продажам,60 000 руб.,Женщина,36 лет,МОСКВА,Опыт работы 11 лет 4 месяца,"['СТРОЙМЕТ, ООО', 'RUUKKI', 'КРЕПЕЖНЫЕ ИЗДЕЛИЯ, ООО', 'ООО СВЕТ И ОБОИ']","['РАЗВИТИЕ ПРОДАЖ', 'АКТИВНЫЕ ПРОДАЖИ', 'ПЛАНИРОВАНИЕ ПРОДАЖ', 'ПОИСК И ПРИВЛЕЧЕНИЕ КЛИЕНТОВ', 'АНАЛИТИКА ПРОДАЖ']","['ВОРОНЕЖСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ, ВОРОНЕЖ', 'ЛЕБЕДЯНСКИЙ СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ТЕХНИКУМ']","['РУССКИЙ', 'АНГЛИЙСКИЙ']"
410,Менеджер по продажам,80 000 руб.,Женщина,31 год,МОСКВА,Опыт работы 12 лет 6 месяцев,"['КПК ""АВАНГАРД-КАПИТАЛ""', 'КПК МЕЖДУНАРОДНЫЙ КРЕДИТНЫЙ АЛЬЯНС', 'ООО МФО ""ФИНАНС-ДА""', 'ООО ""РОСДЕНЬГИ""', 'ООО ""ЯВТОНУСЕ""', 'ООО ""ЕВРОСЕТЬ-РИТЕЙЛ""', 'ООО ""АЛЬТТЕЛЕКОМ""', 'ООО ""АЛЬТТЕЛЕКОМ""', 'ПОЧТА РОССИИ', 'ООО МЕГАФОН-РИТЕЙЛ']","['АНАЛИТИКА ПРОДАЖ', 'ПОИСК И ПРИВЛЕЧЕНИЕ КЛИЕНТОВ', 'ХОЛОДНЫЕ ПРОДАЖИ', 'РАБОТА С СУЩЕСТВУЮЩЕЙ БАЗОЙ КЛИЕНТОВ', 'ТЕЛЕФОННЫЕ ПЕРЕГОВОРЫ', 'АКТИВНЫЕ ПРОДАЖИ', 'ВЕДЕНИЕ ПЕРЕГОВОРОВ', 'НАСТАВНИЧЕСТВО', 'УПРАВЛЕНИЕ ПРОДАЖАМИ', 'РАЗВИТИЕ ПРОДАЖ', 'ИНВЕСТИЦИИ', 'СОПРОВОЖДЕНИЕ КЛИЕНТОВ']","['МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ ОТКРЫТЫЙ УНИВЕРСИТЕТ ИМ. В.С. ЧЕРНОМЫРДИНА, МОСКВА', 'ЧЕБОКСАРСКИЙ ЭЛЕКТРОТЕХНИКУМ СВЯЗИ', 'БАЗОВЫЙ КУРС ДЛЯ КВАЛИФИКАЦИОННЫХ СПЕЦИАЛИСТОВ РЫНКА ЦЕННЫХ БУМАГ', '""ВСЕГДА ЗАКРЫВАЙ СДЕЛКИ!"", ""45 ТАТУИРОВОК МЕНЕДЖЕРА"", ""УПРАВЛЕНИЕ ПРОДАЖАМИ""  МАКСИМ БАТЫРЕВ', '""МЕТОДЫ МОТИВАЦИИ ПЕРСОНАЛА"", ""ТАЙМ-МЕНЕДЖМЕНТ И САМОМОТИВАЦИЯ"", ""ЛИДЕРСТВО""', '""ЭТАПЫ ТЕХНИКИ ПРОДАЖ. ЭФФЕКТИВНЫЕ ПРОДАЖИ"", ""МЕТОДЫ ВЕДЕНИЯ ПЕРЕГОВОРОВ""']",['РУССКИЙ']
411,Менеджер по продажам,50 000 руб.,Мужчина,45 лет,УФА,Опыт работы 15 лет 3 месяца,"['ООО ""НПП"" ЧИСТЫЙ ВОЗДУХ """" ', 'ООО ""МАКСИЛЕД""', 'ООО КОРФ, ООО ТОРГОВЫЙ ДОМ ВЕНТМОНТАЖ', 'ЛИССАНТ, ВЕНТИЛЯЦИОННЫЙ ЗАВОД, ООО ""ЛИССАНТ-УФА""', 'ОАО СТРОЙ-ПЛАНЕТА', 'ООО ИЗОТЕРМ БАШКОРТОСТАН', 'МАРТЕН ГРУПП, ЗАО', 'АНО «ХК «САЛАВАТ ЮЛАЕВ»', 'ООО «ЦЕНТР ИНТЕРАКТИВНЫХ ОБУЧАЮЩИХ ПРОГРАММ «ВЫБОР»', 'ТДК ""ГОСТИНЫЙ ДВОР""', 'ООО «ВЕЛЕС»']","['АКТИВНЫЕ ПРОДАЖИ', 'ХОЛОДНЫЕ ПРОДАЖИ', 'ВЕДЕНИЕ ПЕРЕГОВОРОВ', '1С: ТОРГОВЛЯ', 'CRM', '1С: ПРЕДПРИЯТИЕ', '1С-БИТРИКС', 'B2B ПРОДАЖИ', 'B2C ПРОДАЖИ']","['УФИМСКИЙ ГОСУДАРСТВЕННЫЙ ИНСТИТУТ ИСКУССТВ', 'СЕМИНАР ПО ВАЛЮТНОМУ РЫНКУ «ФОРЕКС»', 'ТРЕНИНГИ:""КОМАНДООБРАЗОВАНИЕ"",""БАЗОВАЯ ПРОГРАММА ЛИДЕРСТВА""', 'БИЗНЕС КУРС', 'КУРСЫ РИЭЛТОРОВ']","['РУССКИЙ', 'АНГЛИЙСКИЙ']"
412,Ведущий менеджер по продажам,60 000 руб.,Женщина,36 лет,МОСКВА,Опыт работы 11 лет 4 месяца,"['СТРОЙМЕТ, ООО', 'RUUKKI', 'КРЕПЕЖНЫЕ ИЗДЕЛИЯ, ООО', 'ООО СВЕТ И ОБОИ']","['РАЗВИТИЕ ПРОДАЖ', 'АКТИВНЫЕ ПРОДАЖИ', 'ПЛАНИРОВАНИЕ ПРОДАЖ', 'ПОИСК И ПРИВЛЕЧЕНИЕ КЛИЕНТОВ', 'АНАЛИТИКА ПРОДАЖ']","['ВОРОНЕЖСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ, ВОРОНЕЖ', 'ЛЕБЕДЯНСКИЙ СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ТЕХНИКУМ']","['РУССКИЙ', 'АНГЛИЙСКИЙ']"
413,Менеджер по продажам.,130 000 руб.,Мужчина,37 лет,МОСКВА,Опыт работы 8 лет 1 месяц,"['ООО ""ШИРАЗ""', 'ООО ""МС-ГРУПП""', 'ПКФ ""РУСКОН""', 'А ГРУПП, ООО', 'КОМТЕХ']","['ХОЛОДНЫЕ ПРОДАЖИ', 'ПОИСК И ПРИВЛЕЧЕНИЕ КЛИЕНТОВ', 'АНАЛИТИКА ПРОДАЖ', 'РАБОТА С ТЕКУЩЕЙ БАЗОЙ КЛИЕНТОВ', 'РАБОТА С ДЕБИТОРСКОЙ ЗАДОЛЖЕННОСТЬЮ']",['ЮРГТУ (НПИ) Г. НОВОЧЕРКАССК'],"['РУССКИЙ', 'АНГЛИЙСКИЙ']"
414,Менеджер по продажам ,60 000 руб.,Мужчина,29 лет,ОДИНЦОВО,Опыт работы 9 лет 4 месяца,"['ТД DOORHAN', 'ДИКСИ, ГРУППА КОМПАНИЙ', 'ООО МОЛОЧНАЯ СТОЛИЦА', 'АО ""МОЛВЕСТ""', 'ООО ""БАЛМИКО ТОРГ""', 'ГМ ""КАРУСЕЛЬ""', '«СПОРТМАСТЕР»', 'ИП ""ПАН""', 'ЧОП ""СЕКЬЮРИТИ БИЗНЕС""']","['1С: ТОРГОВЛЯ И СКЛАД', 'MS EXCEL', 'ДОКУМЕНТАЛЬНОЕ СОПРОВОЖДЕНИЕ', 'ИНВЕНТАРИЗАЦИЯ', 'ПРИЕМКА ГРУЗА', 'СКЛАДСКОЙ ДОКУМЕНТООБОРОТ']",['ВОРОНЕЖСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИНЖЕНЕРНЫХ ТЕХНОЛОГИЙ'],['РУССКИЙ']
415,Менеджер по продажам автозапчастей,70 000 руб.,Мужчина,30 лет,МОСКВА,Опыт работы 12 лет 2 месяца,"['ЗАО «КЭМП""', 'ООО ""АТЛАНТ-СЕРВИС""', 'ИП ХИЖНЯК А.В.', 'ИП ДЯЧУК К.А.', 'ИП ЛУКАШЕНКО А.А.', 'ООО ""ГОРОДСКАЯ ОБЪЕДИНЕННАЯ СЛУЖБА ТАКСИ""']","['ВОДИТЕЛЬСКОЕ УДОСТОВЕРЕНИЕ КАТЕГОРИИ B', 'ЗНАНИЕ УСТРОЙСТВА АВТОМОБИЛЯ', 'ТЕХНИЧЕСКОЕ ОБСЛУЖИВАНИЕ', 'ПОЛЬЗОВАТЕЛЬ ПК', 'MS OFFICE', 'MS WORD', 'РАБОТА В КОМАНДЕ', 'РАБОТА С КЛИЕНТАМИ', 'МОБИЛЬНОСТЬ', 'РЕМОНТНЫЕ РАБОТЫ', '1С: УПРАВЛЕНИЕ ТОРГОВЛЕЙ']","['ГОУ СПО ""ПОЖАРНЫЙ КОЛЛЕДЖ №57""']","['РУССКИЙ', 'АНГЛИЙСКИЙ']"
416,Менеджер по продажам,150 000 руб.,Мужчина,38 лет,МОСКВА,Опыт работы 12 лет 8 месяцев,"['ОКНА РОСТА', 'ООО ""ФАБРИКА ОКОН""', 'ООО ""ФАБРИКА ОКОН""', 'ООО КАСКАД-ВИА']","['B2C ПРОДАЖИ', 'ВЕДЕНИЕ ПЕРЕГОВОРОВ', 'CRM', 'РАБОТА В КОМАНДЕ', 'КОНСУЛЬТАТИВНЫЕ ПРОДАЖИ', 'ОРИЕНТАЦИЯ НА РЕЗУЛЬТАТ']","['ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ УПРАВЛЕНИЯ, МОСКВА']",['РУССКИЙ']
417,Менеджер по продажам ,30 000 руб.,Мужчина,23 года,ЧЕРЕПОВЕЦ,Опыт работы 4 года 5 месяцев,['СВЯЗНОЙ'],"['1С: CRM ПРОФ', 'MS WORD', 'MS EXCEL', 'ОТКРЫТИЕ РОЗНИЧНЫХ МАГАЗИНОВ', 'СБОР И АНАЛИЗ ИНФОРМАЦИИ', 'ИНКАССАЦИЯ', 'АКТИВНЫЕ ПРОДАЖИ', 'МЕРЧЕНДАЙЗИНГ', 'РАБОТА С КАССОЙ', 'ДОКУМЕНТАЛЬНОЕ СОПРОВОЖДЕНИЕ', 'ПРОВЕДЕНИЕ ТРЕНИНГА ДЛЯ НОВЫХ СОТРУДНИКОВ']",[],['РУССКИЙ']
418,"Менеджер по продажам (радиоэлектронные, электронные компоненты, электротехническое оборудование)",70 000 руб.,Женщина,27 лет,МОСКВА,Опыт работы 7 лет 5 месяцев,"['АО ""ПРОТОН""', 'NETBYNET']","['1С: ПРОИЗВОДСТВО', 'INTERNET', 'KOMPAS (ERP)', 'MATHCAD', 'MS EXCEL', 'MS OFFICE', 'MS OUTLOOK', 'MS SQL', 'MS WORD', 'УПРАВЛЕНИЕ ПРОЕКТАМИ', 'УПРАВЛЕНИЕ ПРОЦЕССАМИ', 'ЭЛЕКТРОННАЯ ПОЧТА', 'УСТАНОВКА WINDOWS 7, 8, ХP.', 'ВЕДЕНИЕ ПЕРЕГОВОРОВ', 'УПРАВЛЕНИЕ ПРОДАЖАМИ', 'РАБОТА С БОЛЬШИМ ОБЪЕМОМ ИНФОРМАЦИИ', 'РАБОТА С БАЗАМИ ДАННЫХ', 'ЗНАНИЕ СТАНДАРТОВ В ОБЛАСТИ УПРАВЛЕНИЯ КАЧЕСТВОМ']","['ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ - УЧЕБНО-НАУЧНО-ПРОИЗВОДСТВЕННЫЙ КОМПЛЕКС (ОРЕЛГТУ), ОРЕЛ']","['РУССКИЙ', 'АНГЛИЙСКИЙ']"
419,Менеджер по продажам,25 000 руб.,Женщина,19 лет,ЧЕБОКСАРЫ,Опыт работы 8 месяцев,['РУБИКОН '],"['СТРЕССОУСТОЙЧИВОСТЬ', 'ТЕРПЕНИЕ', 'УМЕНИЕ СЛУШАТЬ И СЛЫШАТЬ', 'УМЕНИЕ РАБОТАТЬ В КОМАНДЕ', 'ПОЛЬЗОВАТЕЛЬ ПК', 'ГРАМОТНАЯ РЕЧЬ', 'НАВЫКИ ТЕЛЕФОННЫХ ПРОДАЖ', 'ХОЛОДНЫЕ ПРОДАЖИ']","['ЧУВАШСКИЙ ГОСУДАРСТВЕННЫЙ ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ ИМЕНИ И.Я. ЯКОВЛЕВА, ЧЕБОКСАРЫ']",['РУССКИЙ']
420,Менеджер по продажам ,65 000 руб.,Мужчина,29 лет,МОСКВА,Опыт работы 6 лет 2 месяца,"['ООО ТПК МЕРКУРИЙ', 'ФИНАНСОВАЯ КОРПОРАЦИЯ ОТКРЫТИЕ', 'ВТБ 24', 'ЭЛЬДОРАДО (РОССИЯ)']",['ВОДИТЕЛЬСКОЕ УДОСТОВЕРЕНИЕ КАТЕГОРИИ B'],"['МОРДОВСКИЙ НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМ. Н.П. ОГАРЕВА, САРАНСК']",['РУССКИЙ']
421,Менеджер по продажам недвижимости,100 000 руб.,Мужчина,35 лет,МОСКВА,Опыт работы 14 лет 8 месяцев,"['AP-AGENCY', 'ООО «МЕДФАРМ»', 'ООО ""ПРОФИТЕКМЕД""', 'ООО ""ЭМАЛЬ""', 'ЗАО ""ЭМАЛЬ""']","['ВЕДЕНИЕ ПЕРЕГОВОРОВ', 'ПОДБОР ПЕРСОНАЛА', 'ПОИСК И ПРИВЛЕЧЕНИЕ КЛИЕНТОВ', 'СТРАТЕГИЧЕСКОЕ ПЛАНИРОВАНИЕ', 'ОРГАНИЗАТОРСКИЕ НАВЫКИ', 'УПРАВЛЕНИЕ ОТНОШЕНИЯМИ С КЛИЕНТАМИ', 'АДМИНИСТРАТИВНОЕ УПРАВЛЕНИЕ', 'СТРАТЕГИЧЕСКОЕ МЫШЛЕНИЕ', 'УПРАВЛЕНИЕ ПРОЦЕССАМИ', 'УПРАВЛЕНИЕ ПЕРСОНАЛОМ', 'УПРАВЛЕНИЕ ПРОДАЖАМИ', 'АКТИВНЫЕ ПРОДАЖИ', 'ХОЛОДНЫЕ ПРОДАЖИ', 'ПРОВЕДЕНИЕ ПРЕЗЕНТАЦИЙ', 'ЗАКЛЮЧЕНИЕ ДОГОВОРОВ', 'ДЕЛОВАЯ ПЕРЕПИСКА', 'ТЕЛЕФОННЫЕ ПЕРЕГОВОРЫ', 'ОБУЧЕНИЕ ПЕРСОНАЛА', 'НАВЫКИ ПРЕЗЕНТАЦИИ', 'РАЗВИТИЕ ПРОДАЖ', 'НАВЫКИ ПРОДАЖ', 'РАБОТА В КОМАНДЕ', 'РУКОВОДСТВО КОЛЛЕКТИВОМ', 'ПЛАНИРОВАНИЕ ПРОДАЖ', 'ДЕЛОВАЯ КОММУНИКАЦИЯ', 'АНГЛИЙСКИЙ ЯЗЫК', 'ОРИЕНТАЦИЯ НА РЕЗУЛЬТАТ', 'ВОДИТЕЛЬСКОЕ УДОСТОВЕРЕНИЕ КАТЕГОРИИ B', 'ГРАМОТНАЯ РЕЧЬ', 'КЛИЕНТООРИЕНТИРОВАННОСТЬ']","['ТЮМЕНСКИЙ ГОСУДАРСТВЕННЫЙ АРХИТЕКТУРНО-СТРОИТЕЛЬНЫЙ УНИВЕРСИТЕТ, ТЮМЕНЬ', 'ТЮМЕНСКИЙ ГОСУДАРСТВЕННЫЙ МЕДИЦИНСКИЙ КОЛЛЕДЖ']","['РУССКИЙ', 'АНГЛИЙСКИЙ']"
422,Менеджер по продажам,30 000 руб.,Женщина,46 лет,ПЕТРОЗАВОДСК,Опыт работы 26 лет 6 месяцев,"['ООО МАСТЕРПАК', 'ООО ВЕБ-ТЕХНОЛОГИИ', 'ООО МАЯК-ОНЕГО', 'ООО ""ИНАРИ""', 'ООО ТОРН', 'ООО МАСТЕРИЦА', 'ООО МАСТЕРИЦА', 'ООО РОСПОСЫЛТОРГ', 'ПЕТРОЗАВОДСКИЙ КООПЕРАТИВНЫЙ ТЕХНИКУМ', 'ДЮСШОР № 4']",,"['НАЦИОНАЛЬНЫЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ФИЗИЧЕСКОЙ КУЛЬТУРЫ, СПОРТА И ЗДОРОВЬЯ ИМ. П.Ф. ЛЕСГАФТА, САНКТ-ПЕТЕРБУРГ']",['РУССКИЙ']
423,Менеджер по продажам,25 000 руб.,Женщина,46 лет,БАЛАКОВО,Опыт работы 8 лет 1 месяц,"['ООО ЮМИТЕКС', 'ООО УНИВИТА.', 'ОООТД МОЛОЧНОЕ', 'ПК ЦАРЬ-ГРАД, ООО', 'ТДПИР']","['РАБОТА С ТЕКУЩЕЙ БАЗОЙ КЛИЕНТОВ', 'ПОИСК И ПРИВЛЕЧЕНИЕ КЛИЕНТОВ', 'АКТИВНЫЕ ПРОДАЖИ', 'РАБОТА С ДЕБИТОРСКОЙ ЗАДОЛЖЕННОСТЬЮ', 'ЗАКЛЮЧЕНИЕ ДОГОВОРОВ', 'ВОДИТЕЛЬСКОЕ УДОСТОВЕРЕНИЕ КАТЕГОРИИ B', 'ТРАДИЦИОННАЯ РОЗНИЦА', 'КОНТРОЛЬ ДЕБИТОРСКОЙ ЗАДОЛЖЕННОСТИ', 'РАЗВИТИЕ ПРОДАЖ', 'РАБОТА С БАЗАМИ ДАННЫХ', 'НАВЫКИ РАБОТЫ С ВОЗРАЖЕНИЯМИ', 'ВЕДЕНИЕ ПЕРЕГОВОРОВ', 'УПРАВЛЕНИЕ ПРОДАЖАМИ', 'УПРАВЛЕНИЕ ПЕРСОНАЛОМ', 'ПЛАНИРОВАНИЕ ПРОДАЖ']","['КУРСЫ.7ШАГОВ ДЕЛОВОГО ВИЗИТА.', 'КУРСЫ.ПРОДАВЕЦ ПРОДОВОЛЬСТВЕННЫХ ТОВАРОВ.']",['РУССКИЙ']
424,"Товаровед, Менеджер по продажам",40 000 руб.,Мужчина,34 года,УФА,Опыт работы 10 лет 5 месяцев,"['ИП ГИМАЗЕТДИНОВА ГУЗЕЛЬ РАФАИЛЕВНА', 'ООО АВТОФОРУМ', 'ТРАНСТЕХСЕРВИС, УК', 'ИП ГАЗИЗОВ', 'МЕГАФОН', 'МОБИЛЬНЫЕ ТЕЛЕСИСТЕМЫ (МТС)']","['1С-РАРУС', '1С: ДОКУМЕНТООБОРОТ', 'MS OFFICE']","['БАШКИРСКИЙ КООПЕРАТИВНЫЙ ИНСТИТУТ (ФИЛИАЛ) РОССИЙСКОГО УНИВЕРСИТЕТА КООПЕРАЦИИ, УФА', 'БАШКИРСКИЙ КООПЕРАТИВНЫЙ ТЕХНИКУМ']","['РУССКИЙ', 'АНГЛИЙСКИЙ', 'НЕМЕЦКИЙ']"
425,Менеджер по продажам автозапчастей,30 000 руб.,Мужчина,30 лет,АБАКАН,Опыт работы 5 лет 2 месяца,"['ИНДИВИДУАЛЬНОЕ ПРЕДПРИНИМАТЕЛЬСТВО / ЧАСТНАЯ ПРАКТИКА / ФРИЛАНС', 'ООО АГЕНСТВО РЕКЛАМЫ ""25 КАДР""', 'ООО ""ИНТЕРТЕЛЕКОМ""', 'КОМПАНИЯ ТТК (ЗАО ""СИБТРАНСТЕЛЕКОМ""']","['ПРОДАЖИ ЗАПЧАСТЕЙ ДЛЯ ИНОСТРАННЫХ АВТОМОБИЛЕЙ', 'КЛИЕНТООРИЕНТИРОВАННОСТЬ', 'ДЕЛОВОЕ ОБЩЕНИЕ', 'ОЦЕНКА ПОТРЕБНОСТЕЙ КЛИЕНТОВ', 'АНГЛИЙСКИЙ ЯЗЫК', 'ВОДИТЕЛЬСКОЕ УДОСТОВЕРЕНИЕ КАТЕГОРИИ B', 'НАВЫКИ ПРОДАЖ', 'ОБУЧЕНИЕ И РАЗВИТИЕ']",['АБАКАНСКИЙ СЕЛЬСКОХОЗЯЙСТВЕННЫЙ КОЛЛЕДЖ'],"['РУССКИЙ', 'АНГЛИЙСКИЙ']"
426,Менеджер по продажам,25 000 руб.,Мужчина,27 лет,ЧЕЛЯБИНСК,Опыт работы 4 года 5 месяцев,"['ООО ЗБТ ""БУРСПЕЦТЕХНИКА""', 'ООО НПП «ИННОТЕХ»', 'АРМИЯ (СВЕРДЛОВСКАЯ ОБЛ., ЕЛАНСКИЙ ГАРНИЗОН, В/Ч 31612.)', 'ГОК ООО «КВАРЦ»', 'ООО «АДЕЛИ»', 'МАГАЗИН БЫТОВОЙ ТЕХНИКИ «ЭКСПЕРТ»']","['АКТИВНЫЕ ПРОДАЖИ', 'ХОЛОДНЫЕ ЗВОНКИ', 'ПРИВЛЕЧЕНИЕ НОВЫХ КЛИЕНТОВ', 'ВЕДЕНИЕ ПЕРЕГОВОРОВ', 'РАБОТА В CRM', 'РАБОТА С КОНФЛИКТАМИ']","['ЮЖНО-УРАЛЬСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ (НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ УНИВЕРСИТЕТ), ЧЕЛЯБИНСК', 'ТРЕНИНГИ АКТИВНЫХ ПРОДАЖ, КНИГИ, ВИДЕО ПОДКАСТЫ НА YOUTUBE С.ФИЛИППОВА', 'ДОПОЛНИТЕЛЬНЫЕ КУРСЫ ПРОЙДЕННЫЕ ПРИ УНИВЕРСИТЕТЕ ФАКУЛЬТАТИВНО: ДЕЛОВОЕ АДМИНИСТРИРОВАНИЕ, МЕНЕДЖМЕНТ ОРГАНИЗАЦИИ, УПРАВЛЕНИЕ ФИНАНСАМИ, ДЕЛОВОЕ ОБЩЕНИЕ, МАРКЕТИНГ.', 'УЧАСТИЕ В ТРЕНИНГАХ, СЕМИНАРАХ КОМПАНИИ PWC. УСПЕШНОЕ ПРОХОЖДЕНИЕ ЭТАПОВ ОТБОРА ДЛЯ СТАЖИРОВКИ В КОМПАНИИ PWC.']","['РУССКИЙ', 'АНГЛИЙСКИЙ', 'ИСПАНСКИЙ']"
427,Менеджер по продажам,35 000 руб.,Женщина,33 года,БАРНАУЛ,Опыт работы 12 лет 5 месяцев,"['ИП', 'ООО ""НАДЕЖНЫЙ""', 'ДОМО-СТИЛЬ', 'КРАФТ- СТИЛЬ', 'ОТП БАНК, ОАО (OTP BANK)', 'ЭЛЬДОРАДО', 'ЮГОРИЯ, ГОСУДАРСТВЕННАЯ СТРАХОВАЯ КОМПАНИЯ ОАО', 'АКГУП ФАРМАЦИЯ']","['1С: КОМПЛЕКСНАЯ АВТОМАТИЗАЦИЯ', 'ПОЛЬЗОВАТЕЛЬ ПК', '1С-БИТРИКС', 'CRM']","['АЛТАЙСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ, БАРНАУЛ']","['РУССКИЙ', 'НЕМЕЦКИЙ']"
428,Менеджер по продажам оборудования,30 000 руб.,Мужчина,38 лет,САРАТОВ,Опыт работы 14 лет 1 месяц,"['ОАО ""ГАЗОВИК""', 'ПЕРВЫЙ БИТ, Г.САРАТОВ', 'СЕМЕЙНЫЙ БИЗНЕС', 'ОАО ""ВЫМПЕЛКОМ"" Г. САРАТОВ', 'ГАРАНТ-САРАТОВ, ООО']","['ПОИСК И ПРИВЛЕЧЕНИЕ КЛИЕНТОВ', 'ВЕДЕНИЕ ПЕРЕГОВОРОВ', 'ХОЛОДНЫЕ ЗВОНКИ', 'ТЕЛЕФОННЫЕ ПЕРЕГОВОРЫ', 'АКТИВНЫЕ ПРОДАЖИ', 'НАВЫКИ ПРОДАЖ', 'НАВЫКИ ПРЕЗЕНТАЦИИ', 'ДОКУМЕНТАЛЬНОЕ СОПРОВОЖДЕНИЕ', 'СОПРОВОЖДЕНИЕ КЛИЕНТОВ', 'НАВЫКИ ПЕРЕГОВОРОВ', 'РАБОТА С ЮРИДИЧЕСКИМИ ЛИЦАМИ', 'МНОГОЗАДАЧНОСТЬ', 'ДЕЛОВАЯ ПЕРЕПИСКА', 'ВЕДЕНИЕ АКТИВНЫХ КЛИЕНТОВ', 'РАБОТА С ДЕБИТОРСКОЙ ЗАДОЛЖЕННОСТЬЮ', 'ХОЛОДНЫЕ ПРОДАЖИ', 'АНАЛИТИКА ПРОДАЖ', 'РАБОТА С ТЕКУЩЕЙ БАЗОЙ КЛИЕНТОВ', 'УПРАВЛЕНИЕ ПЕРСОНАЛОМ', 'УПРАВЛЕНИЕ ПРОДАЖАМИ', 'ОРГАНИЗАТОРСКИЕ НАВЫКИ', 'ЗАКЛЮЧЕНИЕ ДОГОВОРОВ', 'ПРОВЕДЕНИЕ ПРЕЗЕНТАЦИЙ', 'ОБУЧЕНИЕ ПЕРСОНАЛА', 'ДЕЛОВОЕ ОБЩЕНИЕ', 'B2B ПРОДАЖИ', 'MS OUTLOOK', 'РАЗВИТИЕ ПРОДАЖ', 'РАБОТА В КОМАНДЕ', 'ПЛАНИРОВАНИЕ ПРОДАЖ']","['ГУМАНИТАРНО-ЭКОНОМИЧЕСКИЙ И ИНФОРМАЦИОННО-ТЕХНОЛОГИЧЕСКИЙ ИНСТИТУТ, МОСКВА', 'РТЖТ']","['РУССКИЙ', 'АНГЛИЙСКИЙ']"
429,Менеджер по продажам,50 000 руб.,Мужчина,29 лет,ЕКАТЕРИНБУРГ,Опыт работы 5 лет 11 месяцев,"['РУСТОВЕК', 'NESPRESSO', 'PHILIPS', 'НОРД, ДОМ БЫТОВОЙ ТЕХНИКИ']","['КОММУНИКАБЕЛЬНОСТЬ', 'ОБУЧАЕМОСТЬ', 'СТРЕССОУСТОЙЧИВОСТЬ']","['УГК ИМ. И.И. ПОЛЗУНОВА', 'ТЕХНОЛОГИЯ ПРОДАЖ', 'УПРАВЛЕНИЕ МАГАЗИНОМ']",['РУССКИЙ']
430,Менеджер по продажам,100 000 руб.,Мужчина,27 лет,МОСКВА,Опыт работы 5 лет 5 месяцев,"['ООО АВТОПРЕМЬЕР-М NISSAN-DATSUN', 'ООО ( АТЦ ОЙЛ-МАРКЕТ )', 'ООО ТК СТАРТ']","['CRM', 'INTERNET', 'MS OUTLOOK', 'АКТИВНЫЕ ПРОДАЖИ', 'УПРАВЛЕНИЕ ПРОДАЖАМИ', 'ВЕДЕНИЕ ПЕРЕГОВОРОВ', '1С: ТОРГОВЛЯ', 'ПОИСК И ПРИВЛЕЧЕНИЕ КЛИЕНТОВ', 'ПРОВЕДЕНИЕ ПРЕЗЕНТАЦИЙ', 'ВОДИТЕЛЬСКОЕ УДОСТОВЕРЕНИЕ КАТЕГОРИИ B', 'РАЗВИТИЕ ПРОДАЖ', 'ЗАКЛЮЧЕНИЕ ДОГОВОРОВ', 'MS INTERNET EXPLORER', 'ПОЛЬЗОВАТЕЛЬ ПК']","['РОССИЙСКИЙ ЭКОНОМИЧЕСКИЙ УНИВЕРСИТЕТ ИМ. Г.В. ПЛЕХАНОВА, МОСКВА', 'ПЛ 136']",['АНГЛИЙСКИЙ']
